Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded,DOGE_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,LISK_start_date,price_close,volume_traded,WAVES_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,SC_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,LINK_start_date,price_close,volume_traded
Jan,2019-12-30T00:00:00.0000000Z,7334.8,14086.05102,2019-12-30T00:00:00.0000000Z,134,91093.65147,2019-12-30T00:00:00.0000000Z,42.03,36812.61831,2019-12-30T00:00:00.0000000Z,0.033847,11043803.42,2019-12-30T00:00:00.0000000Z,0.0024494,20339987.49,2019-12-30T00:00:00.0000000Z,0.04531,3603346.02,2019-12-30T00:00:00.0000000Z,0.19286,30080000.35,2019-12-30T00:00:00.0000000Z,0.547356,2930.485911,2019-12-30T00:00:00.0000000Z,0.9489,225595.0118,2019-12-30T00:00:00.0000000Z,0.19286,30080000.35,2019-12-30T00:00:00.0000000Z,0.00131,3867895.699,2019-12-30T00:00:00.0000000Z,0.9984,3408294.527,2019-12-30T00:00:00.0000000Z,43.726,10274.86753,2019-12-30T00:00:00.0000000Z,1.80037,89222.45058
Jan,2020-01-04T00:00:00.0000000Z,8043.3,34549.45412,2020-01-04T00:00:00.0000000Z,140.7,257602.0028,2020-01-04T00:00:00.0000000Z,45.31,125802.2537,2020-01-04T00:00:00.0000000Z,0.036445,24777822.69,2020-01-04T00:00:00.0000000Z,0.002072,34689490.66,2020-01-04T00:00:00.0000000Z,0.04758,10577365.84,2020-01-04T00:00:00.0000000Z,0.20743,78296676.08,2020-01-04T00:00:00.0000000Z,0.541059,12476.56028,2020-01-04T00:00:00.0000000Z,0.8445,294329.8837,2020-01-04T00:00:00.0000000Z,0.20743,78296676.08,2020-01-04T00:00:00.0000000Z,0.00142,9761993.958,2020-01-04T00:00:00.0000000Z,0.9993,6634504.824,2020-01-04T00:00:00.0000000Z,52.221,28398.39113,2020-01-04T00:00:00.0000000Z,2.17058,387421.4484
Jan,2020-01-09T00:00:00.0000000Z,8104,24166.90706,2020-01-09T00:00:00.0000000Z,143.58,177107.383,2020-01-09T00:00:00.0000000Z,49.55,152955.8568,2020-01-09T00:00:00.0000000Z,0.036843,9498248.539,2020-01-09T00:00:00.0000000Z,0.0021806,11011274.09,2020-01-09T00:00:00.0000000Z,0.048048,6363655.494,2020-01-09T00:00:00.0000000Z,0.2114,49227869.83,2020-01-09T00:00:00.0000000Z,0.622232,52502.43947,2020-01-09T00:00:00.0000000Z,0.8616,230438.9055,2020-01-09T00:00:00.0000000Z,0.2114,49227869.83,2020-01-09T00:00:00.0000000Z,0.00141,15608745.87,2020-01-09T00:00:00.0000000Z,0.9998,6229508.931,2020-01-09T00:00:00.0000000Z,69.397,27994.23343,2020-01-09T00:00:00.0000000Z,2.19686,252644.5094
Jan,2020-01-14T00:00:00.0000000Z,8907.7,40595.21084,2020-01-14T00:00:00.0000000Z,174.03,459601.1591,2020-01-14T00:00:00.0000000Z,59.36,291257.7756,2020-01-14T00:00:00.0000000Z,0.044933,50567038.51,2020-01-14T00:00:00.0000000Z,0.0025023,20183114.24,2020-01-14T00:00:00.0000000Z,0.06182,36958964.2,2020-01-14T00:00:00.0000000Z,0.24311,123027698.5,2020-01-14T00:00:00.0000000Z,0.72985,56937.85937,2020-01-14T00:00:00.0000000Z,0.8772,360066.44,2020-01-14T00:00:00.0000000Z,0.24311,123027698.5,2020-01-14T00:00:00.0000000Z,0.00161,31882961.52,2020-01-14T00:00:00.0000000Z,0.9994,16082459.58,2020-01-14T00:00:00.0000000Z,101.161,115959.1914,2020-01-14T00:00:00.0000000Z,2.76378,591747.3705
Jan,2020-01-19T00:00:00.0000000Z,8390.1,24900.95209,2020-01-19T00:00:00.0000000Z,162.5,266435.9201,2020-01-19T00:00:00.0000000Z,54.41,109148.9589,2020-01-19T00:00:00.0000000Z,0.04333,18639306.98,2020-01-19T00:00:00.0000000Z,0.0022305,29950227.91,2020-01-19T00:00:00.0000000Z,0.058002,21480352.85,2020-01-19T00:00:00.0000000Z,0.22533,76841979.55,2020-01-19T00:00:00.0000000Z,0.766251,12678.59293,2020-01-19T00:00:00.0000000Z,0.8736,125723.0332,2020-01-19T00:00:00.0000000Z,0.22533,76841979.55,2020-01-19T00:00:00.0000000Z,0.00143,22774915.71,2020-01-19T00:00:00.0000000Z,0.9971,7660172.837,2020-01-19T00:00:00.0000000Z,102.203,30999.53649,2020-01-19T00:00:00.0000000Z,2.45111,323390.3467
Jan,2020-01-24T00:00:00.0000000Z,9399.9,26072.01694,2020-01-24T00:00:00.0000000Z,176.41,285590.3763,2020-01-24T00:00:00.0000000Z,60.66,121270.5726,2020-01-24T00:00:00.0000000Z,0.05301,34638003.56,2020-01-24T00:00:00.0000000Z,0.0023783,18603556.32,2020-01-24T00:00:00.0000000Z,0.060769,17169452.78,2020-01-24T00:00:00.0000000Z,0.23955,48406259.29,2020-01-24T00:00:00.0000000Z,0.816572,36175.88238,2020-01-24T00:00:00.0000000Z,0.8838,162997.1574,2020-01-24T00:00:00.0000000Z,0.23955,48406259.29,2020-01-24T00:00:00.0000000Z,0.00158,23851686.95,2020-01-24T00:00:00.0000000Z,1.0004,11298030.77,2020-01-24T00:00:00.0000000Z,115.509,18248.53369,2020-01-24T00:00:00.0000000Z,2.63762,246911.7501
Jan,2020-01-29T00:00:00.0000000Z,9322.2,22673.71693,2020-01-29T00:00:00.0000000Z,188.25,305614.5373,2020-01-29T00:00:00.0000000Z,69.85,208166.7367,2020-01-29T00:00:00.0000000Z,0.055797,33481620.98,2020-01-29T00:00:00.0000000Z,0.0024576,18536974.11,2020-01-29T00:00:00.0000000Z,0.063433,18213836.79,2020-01-29T00:00:00.0000000Z,0.25036,66633606.73,2020-01-29T00:00:00.0000000Z,0.995996,159699.1325,2020-01-29T00:00:00.0000000Z,0.9633,169786.8926,2020-01-29T00:00:00.0000000Z,0.25036,66633606.73,2020-01-29T00:00:00.0000000Z,0.00192,41938211.92,2020-01-29T00:00:00.0000000Z,0.9987,8999768.96,2020-01-29T00:00:00.0000000Z,114.319,27690.28863,2020-01-29T00:00:00.0000000Z,2.82382,472720.956
Feb,2020-02-03T00:00:00.0000000Z,9799.6,24633.9804,2020-02-03T00:00:00.0000000Z,222.91,360539.8633,2020-02-03T00:00:00.0000000Z,74.17,135093.1215,2020-02-03T00:00:00.0000000Z,0.059857,26948325.62,2020-02-03T00:00:00.0000000Z,0.00278,38508982.42,2020-02-03T00:00:00.0000000Z,0.071782,37412483.38,2020-02-03T00:00:00.0000000Z,0.27897,115981826.8,2020-02-03T00:00:00.0000000Z,1.462014,177773.4086,2020-02-03T00:00:00.0000000Z,1.0968,189348.462,2020-02-03T00:00:00.0000000Z,0.27897,115981826.8,2020-02-03T00:00:00.0000000Z,0.00215,83403615.8,2020-02-03T00:00:00.0000000Z,0.9984,12698896.08,2020-02-03T00:00:00.0000000Z,118.426,17379.56445,2020-02-03T00:00:00.0000000Z,3.33383,472155.6497
Feb,2020-02-08T00:00:00.0000000Z,10354.6,28071.19343,2020-02-08T00:00:00.0000000Z,266.4,514542.9699,2020-02-08T00:00:00.0000000Z,81.22,140048.5605,2020-02-08T00:00:00.0000000Z,0.068361,40404127.49,2020-02-08T00:00:00.0000000Z,0.0030505,103632544.7,2020-02-08T00:00:00.0000000Z,0.080356,34103383.61,2020-02-08T00:00:00.0000000Z,0.30565,105279756.4,2020-02-08T00:00:00.0000000Z,1.993,535237.0689,2020-02-08T00:00:00.0000000Z,1.4372,580183.0189,2020-02-08T00:00:00.0000000Z,0.30565,105279756.4,2020-02-08T00:00:00.0000000Z,0.00247,36344638.73,2020-02-08T00:00:00.0000000Z,1.0021,17551705.41,2020-02-08T00:00:00.0000000Z,133.395,23024.6302,2020-02-08T00:00:00.0000000Z,4.00704,835028.0087
Feb,2020-02-13T00:00:00.0000000Z,9702.1,21484.77691,2020-02-13T00:00:00.0000000Z,268.22,560968.299,2020-02-13T00:00:00.0000000Z,73.24,212595.8233,2020-02-13T00:00:00.0000000Z,0.060309,57394567.76,2020-02-13T00:00:00.0000000Z,0.0026729,120831185,2020-02-13T00:00:00.0000000Z,0.072122,37165364.38,2020-02-13T00:00:00.0000000Z,0.28737,195776717.2,2020-02-13T00:00:00.0000000Z,1.782009,272767.8046,2020-02-13T00:00:00.0000000Z,1.3333,690572.6791,2020-02-13T00:00:00.0000000Z,0.28737,195776717.2,2020-02-13T00:00:00.0000000Z,0.00293,108743260,2020-02-13T00:00:00.0000000Z,1.0005,14636705.55,2020-02-13T00:00:00.0000000Z,114.851,21131.16883,2020-02-13T00:00:00.0000000Z,4.30117,1202571.701
