Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded
Jan,2017-12-30T00:00:00.0000000Z,15185.7,8237.368065,2017-12-30T00:00:00.0000000Z,938,96771.60942,2017-12-30T00:00:00.0000000Z,243,56493.92503,2017-12-30T00:00:00.0000000Z,2.78,40987983.39,2017-12-30T00:00:00.0000000Z,0,0,2017-12-30T00:00:00.0000000Z,2.78,40987983.39,2017-12-30T00:00:00.0000000Z,1.007,3967520.535,2017-12-30T00:00:00.0000000Z,1134.11,3596.560511,2017-12-30T00:00:00.0000000Z,0,0
Jan,2018-01-04T00:00:00.0000000Z,15022.6,15583.91284,2018-01-04T00:00:00.0000000Z,1137.5,155380.6051,2018-01-04T00:00:00.0000000Z,254.96,130100.7273,2018-01-04T00:00:00.0000000Z,2.40557,86424722.67,2018-01-04T00:00:00.0000000Z,0,0,2018-01-04T00:00:00.0000000Z,2.40557,86424722.67,2018-01-04T00:00:00.0000000Z,1.0048,12188626.57,2018-01-04T00:00:00.0000000Z,1080.202,7114.209752,2018-01-04T00:00:00.0000000Z,0,0
Jan,2018-01-09T00:00:00.0000000Z,14400,10458.17043,2018-01-09T00:00:00.0000000Z,1398.99,150519.7312,2018-01-09T00:00:00.0000000Z,261.85,61049.35425,2018-01-09T00:00:00.0000000Z,2.02675,60294995.2,2018-01-09T00:00:00.0000000Z,0,0,2018-01-09T00:00:00.0000000Z,2.02675,60294995.2,2018-01-09T00:00:00.0000000Z,1.01,7559090.754,2018-01-09T00:00:00.0000000Z,1073.091,6682.490896,2018-01-09T00:00:00.0000000Z,0,0
Jan,2018-01-14T00:00:00.0000000Z,11286,35154.92091,2018-01-14T00:00:00.0000000Z,1023.43,362006.1072,2018-01-14T00:00:00.0000000Z,192.67,282563.5542,2018-01-14T00:00:00.0000000Z,1.57944,244649334,2018-01-14T00:00:00.0000000Z,0,0,2018-01-14T00:00:00.0000000Z,1.57944,244649334,2018-01-14T00:00:00.0000000Z,1.0235,36457695.12,2018-01-14T00:00:00.0000000Z,836.299,25129.32325,2018-01-14T00:00:00.0000000Z,0,0
Jan,2018-01-19T00:00:00.0000000Z,10849.9,25316.10607,2018-01-19T00:00:00.0000000Z,985.96,193433.1303,2018-01-19T00:00:00.0000000Z,177.32,145168.8243,2018-01-19T00:00:00.0000000Z,1.34,171369357.5,2018-01-19T00:00:00.0000000Z,0,0,2018-01-19T00:00:00.0000000Z,1.34,171369357.5,2018-01-19T00:00:00.0000000Z,1.003,22963016.49,2018-01-19T00:00:00.0000000Z,759,8598.80106,2018-01-19T00:00:00.0000000Z,0,0
Jan,2018-01-24T00:00:00.0000000Z,11629.9,28675.23806,2018-01-24T00:00:00.0000000Z,1221.94,262065.3272,2018-01-24T00:00:00.0000000Z,192.16,97546.1254,2018-01-24T00:00:00.0000000Z,1.34587,94758812.8,2018-01-24T00:00:00.0000000Z,0,0,2018-01-24T00:00:00.0000000Z,1.34587,94758812.8,2018-01-24T00:00:00.0000000Z,0.9795,23008735.07,2018-01-24T00:00:00.0000000Z,807.03,5607.044657,2018-01-24T00:00:00.0000000Z,0,0
Jan,2018-01-29T00:00:00.0000000Z,8772.6,57706.79352,2018-01-29T00:00:00.0000000Z,910,453208.3938,2018-01-29T00:00:00.0000000Z,131.08,180525.5612,2018-01-29T00:00:00.0000000Z,0.89,165184618.2,2018-01-29T00:00:00.0000000Z,0,0,2018-01-29T00:00:00.0000000Z,0.89,165184618.2,2018-01-29T00:00:00.0000000Z,0.9883,48524259.1,2018-01-29T00:00:00.0000000Z,590.427,11486.50322,2018-01-29T00:00:00.0000000Z,0,0
Feb,2018-02-03T00:00:00.0000000Z,7559,81636.70129,2018-02-03T00:00:00.0000000Z,748.54,628495.3257,2018-02-03T00:00:00.0000000Z,137.5,418401.3679,2018-02-03T00:00:00.0000000Z,0.70999,185037085,2018-02-03T00:00:00.0000000Z,0,0,2018-02-03T00:00:00.0000000Z,0.70999,185037085,2018-02-03T00:00:00.0000000Z,0.9986,27970054.16,2018-02-03T00:00:00.0000000Z,517.913,13641.36236,2018-02-03T00:00:00.0000000Z,0,0
Feb,2018-02-08T00:00:00.0000000Z,8906.3,52291.65778,2018-02-08T00:00:00.0000000Z,864.53,305676.5023,2018-02-08T00:00:00.0000000Z,161.64,149318.6726,2018-02-08T00:00:00.0000000Z,1.04007,172542364.6,2018-02-08T00:00:00.0000000Z,0,0,2018-02-08T00:00:00.0000000Z,1.04007,172542364.6,2018-02-08T00:00:00.0000000Z,0.9992,10889212.53,2018-02-08T00:00:00.0000000Z,618.999,7660.417085,2018-02-08T00:00:00.0000000Z,0,0
Feb,2018-02-13T00:00:00.0000000Z,11100,37581.90425,2018-02-13T00:00:00.0000000Z,975.75,165961.1372,2018-02-13T00:00:00.0000000Z,229.96,254258.8102,2018-02-13T00:00:00.0000000Z,1.1812,73001568.35,2018-02-13T00:00:00.0000000Z,0,0,2018-02-13T00:00:00.0000000Z,1.1812,73001568.35,2018-02-13T00:00:00.0000000Z,1.0047,8972182.746,2018-02-13T00:00:00.0000000Z,738.181,4289.226931,2018-02-13T00:00:00.0000000Z,0,0
Feb,2018-02-18T00:00:00.0000000Z,9840.2,52484.46542,2018-02-18T00:00:00.0000000Z,804.36,201001.9322,2018-02-18T00:00:00.0000000Z,193.24,208949.0513,2018-02-18T00:00:00.0000000Z,0.88896,62565525,2018-02-18T00:00:00.0000000Z,0.3498,15244576.03,2018-02-18T00:00:00.0000000Z,0.88896,62565525,2018-02-18T00:00:00.0000000Z,1.0008,18651827.88,2018-02-18T00:00:00.0000000Z,624.605,8386.69977,2018-02-18T00:00:00.0000000Z,0,0
