Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,zec_start_date,price_close,volume_traded
Jan,2015-12-31T00:00:00.0000000Z,431.08415,105.5950768,2015-12-31T00:00:00.0000000Z,0,0,2015-12-31T00:00:00.0000000Z,0,0,2015-12-31T00:00:00.0000000Z,0,0
Jan,2016-01-05T00:00:00.0000000Z,451.38,382.6205652,2016-01-05T00:00:00.0000000Z,0,0,2016-01-05T00:00:00.0000000Z,0,0,2016-01-05T00:00:00.0000000Z,0,0
Jan,2016-01-10T00:00:00.0000000Z,430.57505,523.5761814,2016-01-10T00:00:00.0000000Z,0,0,2016-01-10T00:00:00.0000000Z,0,0,2016-01-10T00:00:00.0000000Z,0,0
Jan,2016-01-15T00:00:00.0000000Z,381.10022,1591.540475,2016-01-15T00:00:00.0000000Z,0,0,2016-01-15T00:00:00.0000000Z,0,0,2016-01-15T00:00:00.0000000Z,0,0
Jan,2016-01-20T00:00:00.0000000Z,400.68011,3027.145831,2016-01-20T00:00:00.0000000Z,0,0,2016-01-20T00:00:00.0000000Z,0,0,2016-01-20T00:00:00.0000000Z,0,0
Jan,2016-01-25T00:00:00.0000000Z,395.95,1182.50311,2016-01-25T00:00:00.0000000Z,0,0,2016-01-25T00:00:00.0000000Z,2.98943,1438.35676,2016-01-25T00:00:00.0000000Z,0,0
Feb,2016-02-04T00:00:00.0000000Z,373.47,1226.648562,2016-02-04T00:00:00.0000000Z,0,0,2016-02-04T00:00:00.0000000Z,3.04433,19936.30507,2016-02-04T00:00:00.0000000Z,0,0
Feb,2016-02-09T00:00:00.0000000Z,390,5089.121823,2016-02-09T00:00:00.0000000Z,0,0,2016-02-09T00:00:00.0000000Z,3.19,3120.67478,2016-02-09T00:00:00.0000000Z,0,0
Feb,2016-02-14T00:00:00.0000000Z,421.17,4414.656958,2016-02-14T00:00:00.0000000Z,0,0,2016-02-14T00:00:00.0000000Z,3.32555,7074.138452,2016-02-14T00:00:00.0000000Z,0,0
Feb,2016-02-19T00:00:00.0000000Z,420.34999,4290.624707,2016-02-19T00:00:00.0000000Z,0,0,2016-02-19T00:00:00.0000000Z,3.38838,1591.71603,2016-02-19T00:00:00.0000000Z,0,0
Feb,2016-02-24T00:00:00.0000000Z,433.7,2018.341699,2016-02-24T00:00:00.0000000Z,0,0,2016-02-24T00:00:00.0000000Z,3.23703,11551.7885,2016-02-24T00:00:00.0000000Z,0,0
March,2016-03-05T00:00:00.0000000Z,411.93,8771.89109,2016-03-05T00:00:00.0000000Z,0,0,2016-03-05T00:00:00.0000000Z,3.24532,7093.090278,2016-03-05T00:00:00.0000000Z,0,0
March,2016-03-10T00:00:00.0000000Z,414.431,14092.10911,2016-03-10T00:00:00.0000000Z,0,0,2016-03-10T00:00:00.0000000Z,3.25,4230.980725,2016-03-10T00:00:00.0000000Z,0,0
March,2016-03-15T00:00:00.0000000Z,409.53,10304.90255,2016-03-15T00:00:00.0000000Z,0,0,2016-03-15T00:00:00.0000000Z,3.16,3531.694927,2016-03-15T00:00:00.0000000Z,0,0
March,2016-03-20T00:00:00.0000000Z,415.04,6261.052298,2016-03-20T00:00:00.0000000Z,0,0,2016-03-20T00:00:00.0000000Z,3.02613,2481.838398,2016-03-20T00:00:00.0000000Z,0,0
March,2016-03-25T00:00:00.0000000Z,416.7,5586.796055,2016-03-25T00:00:00.0000000Z,0,0,2016-03-25T00:00:00.0000000Z,3.2317,9218.495305,2016-03-25T00:00:00.0000000Z,0,0
March,2016-03-30T00:00:00.0000000Z,421.497,4804.321105,2016-03-30T00:00:00.0000000Z,0,0,2016-03-30T00:00:00.0000000Z,3.24118,705.7702511,2016-03-30T00:00:00.0000000Z,0,0
April,2016-04-04T00:00:00.0000000Z,418.551,4295.32388,2016-04-04T00:00:00.0000000Z,0,0,2016-04-04T00:00:00.0000000Z,3.24,989.1049673,2016-04-04T00:00:00.0000000Z,0,0
April,2016-04-09T00:00:00.0000000Z,423.538,6097.913195,2016-04-09T00:00:00.0000000Z,0,0,2016-04-09T00:00:00.0000000Z,3.21633,2344.376129,2016-04-09T00:00:00.0000000Z,0,0
April,2016-04-14T00:00:00.0000000Z,427.42,3530.385181,2016-04-14T00:00:00.0000000Z,0,0,2016-04-14T00:00:00.0000000Z,3.20158,141.1819235,2016-04-14T00:00:00.0000000Z,0,0
April,2016-04-19T00:00:00.0000000Z,450.711,5005.421214,2016-04-19T00:00:00.0000000Z,0,0,2016-04-19T00:00:00.0000000Z,3.26053,3836.319398,2016-04-19T00:00:00.0000000Z,0,0
April,2016-04-24T00:00:00.0000000Z,450.42,6628.13867,2016-04-24T00:00:00.0000000Z,0,0,2016-04-24T00:00:00.0000000Z,3.8,12086.29785,2016-04-24T00:00:00.0000000Z,0,0
April,2016-04-29T00:00:00.0000000Z,451.75,4994.357719,2016-04-29T00:00:00.0000000Z,0,0,2016-04-29T00:00:00.0000000Z,3.75,4959.323426,2016-04-29T00:00:00.0000000Z,0,0
May,2016-05-04T00:00:00.0000000Z,459.1,4143.42273,2016-05-04T00:00:00.0000000Z,0,0,2016-05-04T00:00:00.0000000Z,3.9264,4768.666365,2016-05-04T00:00:00.0000000Z,0,0
May,2016-05-09T00:00:00.0000000Z,456.281,6182.591983,2016-05-09T00:00:00.0000000Z,0,0,2016-05-09T00:00:00.0000000Z,3.92548,8165.193606,2016-05-09T00:00:00.0000000Z,0,0
May,2016-05-14T00:00:00.0000000Z,452.35,4909.068801,2016-05-14T00:00:00.0000000Z,0,0,2016-05-14T00:00:00.0000000Z,4.00677,10889.51125,2016-05-14T00:00:00.0000000Z,0,0
May,2016-05-19T00:00:00.0000000Z,442.99,8733.124072,2016-05-19T00:00:00.0000000Z,0,0,2016-05-19T00:00:00.0000000Z,3.64554,1206.250342,2016-05-19T00:00:00.0000000Z,0,0
