Month,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,ada_start_date,price_open,price_close,volume_traded,doge_start_date,price_open,price_close,volume_traded,xlm_start_date,price_open,price_close,volume_traded,xrp_start_date,price_open,price_close,volume_traded,lisk_start_date,price_open,price_close,volume_traded,waves_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded,sc_start_date,price_open,price_close,volume_traded,usdt_start_date,price_open,price_close,volume_traded,dash_start_date,price_open,price_close,volume_traded
Jan-16,2016-01-01T00:00:00.0000000Z,434.17899,395.95,6812.981239,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,,,,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0
Feb-16,2016-02-01T00:00:00.0000000Z,390.44,433.7,17039.39375,2016-02-01T00:00:00.0000000Z,0,0,0,2016-02-01T00:00:00.0000000Z,3.1832,3.37701,33229.75821,2016-02-01T00:00:00.0000000Z,0,0,0,2016-02-01T00:00:00.0000000Z,0,0,0,2016-02-01T00:00:00.0000000Z,,,,2016-02-01T00:00:00.0000000Z,0,0,0,2016-02-01T00:00:00.0000000Z,0,0,0,2016-02-01T00:00:00.0000000Z,0,0,0,2016-02-01T00:00:00.0000000Z,0,0,0,2016-02-01T00:00:00.0000000Z,0,0,0,2016-02-01T00:00:00.0000000Z,0,0,0,2016-02-01T00:00:00.0000000Z,0,0,0
Mar-16,2016-03-01T00:00:00.0000000Z,404.4,416.1,48153.07031,2016-03-01T00:00:00.0000000Z,0,0,0,2016-03-01T00:00:00.0000000Z,3.38009,3.29989,38416.31775,2016-03-01T00:00:00.0000000Z,0,0,0,2016-03-01T00:00:00.0000000Z,0,0,0,2016-03-01T00:00:00.0000000Z,,,,2016-03-01T00:00:00.0000000Z,0,0,0,2016-03-01T00:00:00.0000000Z,0,0,0,2016-03-01T00:00:00.0000000Z,0,0,0,2016-03-01T00:00:00.0000000Z,0,0,0,2016-03-01T00:00:00.0000000Z,0,0,0,2016-03-01T00:00:00.0000000Z,0,0,0,2016-03-01T00:00:00.0000000Z,0,0,0
Apr-16,2016-04-01T00:00:00.0000000Z,416.1,448.906,29351.49936,2016-04-01T00:00:00.0000000Z,0,0,0,2016-04-01T00:00:00.0000000Z,3.23729,3.69254,21566.96332,2016-04-01T00:00:00.0000000Z,0,0,0,2016-04-01T00:00:00.0000000Z,0,0,0,2016-04-01T00:00:00.0000000Z,,,,2016-04-01T00:00:00.0000000Z,0,0,0,2016-04-01T00:00:00.0000000Z,0,0,0,2016-04-01T00:00:00.0000000Z,0,0,0,2016-04-01T00:00:00.0000000Z,0,0,0,2016-04-01T00:00:00.0000000Z,0,0,0,2016-04-01T00:00:00.0000000Z,0,0,0,2016-04-01T00:00:00.0000000Z,0,0,0
May-16,2016-05-01T00:00:00.0000000Z,448.904,531.19,43005.72008,2016-05-01T00:00:00.0000000Z,0,0,0,2016-05-01T00:00:00.0000000Z,3.64001,4.5568,44692.44457,2016-05-01T00:00:00.0000000Z,0,0,0,2016-05-01T00:00:00.0000000Z,0,0,0,2016-05-01T00:00:00.0000000Z,,,,2016-05-01T00:00:00.0000000Z,0,0,0,2016-05-01T00:00:00.0000000Z,0,0,0,2016-05-01T00:00:00.0000000Z,0,0,0,2016-05-01T00:00:00.0000000Z,0,0,0,2016-05-01T00:00:00.0000000Z,0,0,0,2016-05-01T00:00:00.0000000Z,0,0,0,2016-05-01T00:00:00.0000000Z,0,0,0
Jun-16,2016-06-01T00:00:00.0000000Z,530.834,671.524,95787.85176,2016-06-01T00:00:00.0000000Z,0,0,0,2016-06-01T00:00:00.0000000Z,4.638,4.16053,57597.78825,2016-06-01T00:00:00.0000000Z,0,0,0,2016-06-01T00:00:00.0000000Z,0,0,0,2016-06-01T00:00:00.0000000Z,,,,2016-06-01T00:00:00.0000000Z,0,0,0,2016-06-01T00:00:00.0000000Z,0,0,0,2016-06-01T00:00:00.0000000Z,0,0,0,2016-06-01T00:00:00.0000000Z,0,0,0,2016-06-01T00:00:00.0000000Z,0,0,0,2016-06-01T00:00:00.0000000Z,0,0,0,2016-06-01T00:00:00.0000000Z,0,0,0
Jul-16,2016-07-01T00:00:00.0000000Z,672.22,622.57,36871.90242,2016-07-01T00:00:00.0000000Z,0,0,0,2016-07-01T00:00:00.0000000Z,4.27981,3.94,28735.22021,2016-07-01T00:00:00.0000000Z,0,0,0,2016-07-01T00:00:00.0000000Z,0,0,0,2016-07-01T00:00:00.0000000Z,,,,2016-07-01T00:00:00.0000000Z,0,0,0,2016-07-01T00:00:00.0000000Z,0,0,0,2016-07-01T00:00:00.0000000Z,0,0,0,2016-07-01T00:00:00.0000000Z,0,0,0,2016-07-01T00:00:00.0000000Z,0,0,0,2016-07-01T00:00:00.0000000Z,0,0,0,2016-07-01T00:00:00.0000000Z,0,0,0
Aug-16,2016-08-01T00:00:00.0000000Z,623.52,574.22,41026.06012,2016-08-01T00:00:00.0000000Z,0,0,0,2016-08-01T00:00:00.0000000Z,3.92137,3.65158,31691.89562,2016-08-01T00:00:00.0000000Z,0,0,0,2016-08-01T00:00:00.0000000Z,0,0,0,2016-08-01T00:00:00.0000000Z,,,,2016-08-01T00:00:00.0000000Z,0,0,0,2016-08-01T00:00:00.0000000Z,0,0,0,2016-08-01T00:00:00.0000000Z,0,0,0,2016-08-01T00:00:00.0000000Z,0,0,0,2016-08-01T00:00:00.0000000Z,0,0,0,2016-08-01T00:00:00.0000000Z,0,0,0,2016-08-01T00:00:00.0000000Z,0,0,0
Sep-16,2016-09-01T00:00:00.0000000Z,574.21,612.5,20068.95209,2016-09-01T00:00:00.0000000Z,0,0,0,2016-09-01T00:00:00.0000000Z,3.8,3.83373,10627.30569,2016-09-01T00:00:00.0000000Z,0,0,0,2016-09-01T00:00:00.0000000Z,0,0,0,2016-09-01T00:00:00.0000000Z,,,,2016-09-01T00:00:00.0000000Z,0,0,0,2016-09-01T00:00:00.0000000Z,0,0,0,2016-09-01T00:00:00.0000000Z,0,0,0,2016-09-01T00:00:00.0000000Z,0,0,0,2016-09-01T00:00:00.0000000Z,0,0,0,2016-09-01T00:00:00.0000000Z,0,0,0,2016-09-01T00:00:00.0000000Z,0,0,0
Oct-16,2016-10-01T00:00:00.0000000Z,612.5,698.919,28400.57346,2016-10-01T00:00:00.0000000Z,11.87,10.90001,302878.9624,2016-10-01T00:00:00.0000000Z,3.84825,4.03078,20492.23864,2016-10-01T00:00:00.0000000Z,0,0,0,2016-10-01T00:00:00.0000000Z,0,0,0,2016-10-01T00:00:00.0000000Z,,,,2016-10-01T00:00:00.0000000Z,0,0,0,2016-10-01T00:00:00.0000000Z,0,0,0,2016-10-01T00:00:00.0000000Z,0,0,0,2016-10-01T00:00:00.0000000Z,0,0,0,2016-10-01T00:00:00.0000000Z,0,0,0,2016-10-01T00:00:00.0000000Z,0,0,0,2016-10-01T00:00:00.0000000Z,0,0,0
