,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,ada_start_date,price_open,price_close,volume_traded,doge_start_date,price_open,price_close,volume_traded,xlm_start_date,price_open,price_close,volume_traded,xrp_start_date,price_open,price_close,volume_traded,lisk_start_date,price_open,price_close,volume_traded,waves_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded,sc_start_date,price_open,price_close,volume_traded,usdt_start_date,price_open,price_close,volume_traded,dash_start_date,price_open,price_close,volume_traded
13,,,,,,,,,,,,,,,,,2021-01-01T00:00:00.0000000Z,0.0046804,0.037,23559448055.573586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,2021-02-01T00:00:00.0000000Z,0.0369461,0.0482549,20695748909.52945,,,,,,,,,2021-01-01T00:00:00.0000000Z,1.144953,1.322039,1456412.33767507,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,2021-03-01T00:00:00.0000000Z,0.048308,0.0538292,3169104764.513265,,,,,,,,,2021-02-01T00:00:00.0000000Z,1.3,2.912001,5749559.58920711,2021-01-01T00:00:00.0000000Z,6.2,6.5927,6945475.19487318,,,,,2021-01-01T00:00:00.0000000Z,0.00312,0.0074,3612022289.795096,,,,,,,,
16,,,,,,,,,,,,,,,,,2021-04-01T00:00:00.0000000Z,0.0538285,0.3384562,14208367904.475035,,,,,,,,,2021-03-01T00:00:00.0000000Z,2.938605,6.24,3541262.67710917,2021-02-01T00:00:00.0000000Z,6.4876,8.8705,5635683.92384642,,,,,2021-02-01T00:00:00.0000000Z,0.00744,0.00964,5393810126.913472,,,,,,,,
17,,,,,,,,,,,,,,,,,2021-05-01T00:00:00.0000000Z,0.3382934,0.3258743,11065476280.597261,,,,,,,,,2021-04-01T00:00:00.0000000Z,6.241653,5.449347,2431627.44233525,2021-03-01T00:00:00.0000000Z,9.0236,11.9979,1720525.03806858,,,,,2021-03-01T00:00:00.0000000Z,0.00965,0.02585,6533422480.690383,,,,,,,,
18,,,,,,,,,,,,,,,,,2021-06-01T00:00:00.0000000Z,0.3254472,0.2542857,3318225734.921063,,,,,,,,,2021-05-01T00:00:00.0000000Z,5.43333,3.555353,5158677.44460648,2021-04-01T00:00:00.0000000Z,11.9979,23.3121,3703859.16262862,,,,,2021-04-01T00:00:00.0000000Z,0.02585,0.04077,12081528015.579166,,,,,,,,
19,,,,,,,,,,,,,,,,,2021-07-01T00:00:00.0000000Z,0.2540556,0.207632,1808362870.4857686,,,,,,,,,2021-06-01T00:00:00.0000000Z,3.574444,2.671989,1605193.90017712,2021-05-01T00:00:00.0000000Z,23.3321,13.8872,4334058.15290306,,,,,2021-05-01T00:00:00.0000000Z,0.04075,0.01785,12427134961.90701,,,,,,,,
20,,,,,,,,,,,,,,,,,2021-08-01T00:00:00.0000000Z,0.2078887,0.2874181,1250353395.288253,,,,,,,,,2021-07-01T00:00:00.0000000Z,2.658453,3.222598,1296039.08285922,2021-06-01T00:00:00.0000000Z,13.7462,16.2969,2044321.21203191,,,,,2021-06-01T00:00:00.0000000Z,0.01785,0.0133,7034172762.705767,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01T00:00:00.0000000Z,3.189412,4.161496,1076154.56636315,2021-07-01T00:00:00.0000000Z,16.1607,16.5839,786109.47895816,,,,,2021-07-01T00:00:00.0000000Z,0.01331,0.015,5121808433.235192,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01T00:00:00.0000000Z,16.4712,19.4199,152295.84632613,,,,,2021-08-01T00:00:00.0000000Z,0.01499,0.01885,2067054417.9195457,,,,,,,,
