time,btc_price_close,eth_price_close,ltc_price_close,usdt_price_close,xlm_start_date,price_open,xlm_price_close,xrp_price_close,zec_price_close,dash_price_close
2017-01-01T00:00:00.0000000Z,969.739,10.66911,4.12475,0,2017-01-01T00:00:00.0000000Z,0.00225,0.002149,0,39.72103,0
2017-02-01T00:00:00.0000000Z,1180,15.63,3.77,0,2017-02-01T00:00:00.0000000Z,0.002298,0.00192,0,36.87479,0
2017-03-01T00:00:00.0000000Z,1079.78,49.6975,7.07063,0,2017-03-01T00:00:00.0000000Z,0.001833,0.002282,0,62.22333,0
2017-04-01T00:00:00.0000000Z,1350.717,78.367,15.65775,0.935,2017-04-01T00:00:00.0000000Z,0.002278,0.004805,0,92.72201,92.82983
2017-05-01T00:00:00.0000000Z,2291.301,228.5,25.78,1.0571,2017-05-01T00:00:00.0000000Z,0.004805,0.034,0.249367,231.36099,137.37001
2017-06-01T00:00:00.0000000Z,2445,280,39.04784,1.0061,2017-06-01T00:00:00.0000000Z,0.034,0.026694,0.244035,294.79606,174.73788
2017-07-01T00:00:00.0000000Z,2876.133,201.7777,42.34721,1.0025,2017-07-01T00:00:00.0000000Z,0.026505,0.016269,0.1651,174,178.5
2017-08-01T00:00:00.0000000Z,4737.27,388.003,73.3708,1.0046,2017-08-01T00:00:00.0000000Z,0,0,0.26,290,387.182
2017-09-01T00:00:00.0000000Z,4344,302.2,55.65,0.9998,2017-09-01T00:00:00.0000000Z,0,0,0.19903,277,330
2017-10-01T00:00:00.0000000Z,6430.5,304.12,55.47,0.9999,2017-10-01T00:00:00.0000000Z,0,0,0.19906,234,279.38
2017-11-01T00:00:00.0000000Z,10088.5,439.25,87.59,1.0067,2017-11-01T00:00:00.0000000Z,0,0,0.24,301.46,779.852
2017-12-01T00:00:00.0000000Z,13990,745.98,230.3,1.019,2017-12-01T00:00:00.0000000Z,0,0,1.99004,478.67,1027.191
