time,btc_price_close,eth_price_close,ltc_price_close,zec_price_close,usdt_price_close,xlm_price_close,xrp_price_close,dash_price_close,ada_price_close,sol_price_close,doge_price_close,lisk_price_close,waves_price_close,link_price_close
2020-12-31T00:00:00.0000000Z,32218.38,775.3,137.13,57.5,1.0009,0.127517,0.22108,86.919,0.177523,1.7909,0.0105776,1.143472,5.5972,12.20905
2021-01-03T00:00:00.0000000Z,34036.08,1103.73,159.03,59.95,1.0028,0.193685,0.22635,89.181,0.259869,2.1585,0.01,1.229452,5.5992,14.54549
2021-01-06T00:00:00.0000000Z,40622.87,1217.35,172.46,69.02,1.0011,0.297634,0.3211,96.696,0.304143,3.2364,0.009794,1.313675,5.5971,15.25904
2021-01-09T00:00:00.0000000Z,35494,1088.79,139.43,88.82,1.0008,0.272216,0.28781,125.121,0.275419,3.1455,0.0087557,1.242617,5.63,14.63654
2021-01-12T00:00:00.0000000Z,39127.1,1231.32,152.38,111.77,0.9989,0.303117,0.29573,132.664,0.311178,3.6316,0.0093892,1.353658,6.41,17.96932
2021-01-15T00:00:00.0000000Z,35810,1232.99,142.8,102.05,0.9997,0.3035,0.27732,123.742,0.381833,3.8204,0.0090783,1.40526,7.3756,23.3
2021-01-18T00:00:00.0000000Z,35489.1,1376.88,149.77,99.14,1.0007,0.293478,0.29534,121.408,0.375427,3.737,0.0090494,1.526393,7.1935,21.86624
2021-01-21T00:00:00.0000000Z,32123.61,1234.55,137.76,85.92,1.0008,0.270113,0.27176,105.179,0.34562,3.5204,0.0085614,1.364517,6.6019,24.80432
2021-01-24T00:00:00.0000000Z,32517.86,1367.98,134.79,89.26,1.0012,0.261816,0.26866,104.745,0.344232,4.0499,0.0082577,1.312699,6.7725,23.0445
2021-01-27T00:00:00.0000000Z,34272.02,1379.87,134.91,85.59,1.0004,0.293546,0.28314,104.722,0.347549,3.8499,0.0457876,1.316271,6.5013,22.75979
2021-01-30T00:00:00.0000000Z,33546.39,1374.6,132.04,88.57,1.0003,0.323012,0.37115,103.442,0.408881,4.6196,0.034816,1.390789,7.0034,22.9
2021-02-02T00:00:00.0000000Z,36993.27,1597.55,145.27,90.19,1.0011,0.3265,0.44619,111.039,0.440175,6.4401,0.0530146,1.433283,7.2526,24.53543
2021-02-05T00:00:00.0000000Z,38874.13,1615.32,150.95,92.56,1.0017,0.38634,0.41967,118.431,0.66356,6.6874,0.078,1.559203,8.0696,24.77212
2021-02-08T00:00:00.0000000Z,44908.73,1742.93,181.76,116.5,1.0008,0.415074,0.50568,139.914,0.941623,9.0707,0.0726688,2.301369,9.6788,26.85209
2021-02-11T00:00:00.0000000Z,47216.11,1818.01,226.62,176.27,1.0013,0.565684,0.63446,267.536,0.9137,8.7743,0.0663213,3.35,11.2445,34.25
