Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded
Jan,2018-12-30T00:00:00.0000000Z,3786.5,16210.34224,2018-12-30T00:00:00.0000000Z,146.98,401097.4728,2018-12-30T00:00:00.0000000Z,31.56,38673.99304,2018-12-30T00:00:00.0000000Z,0.042251,9313017.053,2018-12-30T00:00:00.0000000Z,0,0,2018-12-30T00:00:00.0000000Z,0.112003,7733907.884,2018-12-30T00:00:00.0000000Z,0.35416,26092699.53,2018-12-30T00:00:00.0000000Z,0,0,2018-12-30T00:00:00.0000000Z,0,0,2018-12-30T00:00:00.0000000Z,0.35416,26092699.53,2018-12-30T00:00:00.0000000Z,0,0,2018-12-30T00:00:00.0000000Z,1.005,8815443.801,2018-12-30T00:00:00.0000000Z,78.97,5368.119711,2018-12-30T00:00:00.0000000Z,0,0
Jan,2019-01-04T00:00:00.0000000Z,3992.9,30065.50786,2019-01-04T00:00:00.0000000Z,148.88,676905.0563,2019-01-04T00:00:00.0000000Z,39.12,154975.3753,2019-01-04T00:00:00.0000000Z,0.048125,22537979.79,2019-01-04T00:00:00.0000000Z,0,0,2019-01-04T00:00:00.0000000Z,0.12267,20895146.27,2019-01-04T00:00:00.0000000Z,0.36412,35139002.33,2019-01-04T00:00:00.0000000Z,0,0,2019-01-04T00:00:00.0000000Z,0,0,2019-01-04T00:00:00.0000000Z,0.36412,35139002.33,2019-01-04T00:00:00.0000000Z,0,0,2019-01-04T00:00:00.0000000Z,1.0064,22861113.14,2019-01-04T00:00:00.0000000Z,80.137,8308.664784,2019-01-04T00:00:00.0000000Z,0,0
Jan,2019-01-09T00:00:00.0000000Z,3512.6,36776.94284,2019-01-09T00:00:00.0000000Z,115.32,609791.2655,2019-01-09T00:00:00.0000000Z,29.81,140745.0624,2019-01-09T00:00:00.0000000Z,0.0397,37801737.6,2019-01-09T00:00:00.0000000Z,0,0,2019-01-09T00:00:00.0000000Z,0.101852,17097545.42,2019-01-09T00:00:00.0000000Z,0.31415,52375590.67,2019-01-09T00:00:00.0000000Z,0,0,2019-01-09T00:00:00.0000000Z,0,0,2019-01-09T00:00:00.0000000Z,0.31415,52375590.67,2019-01-09T00:00:00.0000000Z,0,0,2019-01-09T00:00:00.0000000Z,1.0081,44704581.93,2019-01-09T00:00:00.0000000Z,68.92,8031.590399,2019-01-09T00:00:00.0000000Z,0,0
Jan,2019-01-14T00:00:00.0000000Z,3612.2,30158.11859,2019-01-14T00:00:00.0000000Z,119.78,699349.0023,2019-01-14T00:00:00.0000000Z,30.85,70865.3612,2019-01-14T00:00:00.0000000Z,0.043824,14843821.26,2019-01-14T00:00:00.0000000Z,0,0,2019-01-14T00:00:00.0000000Z,0.105365,13288988.13,2019-01-14T00:00:00.0000000Z,0.32139,33270557.22,2019-01-14T00:00:00.0000000Z,0,0,2019-01-14T00:00:00.0000000Z,0,0,2019-01-14T00:00:00.0000000Z,0.32139,33270557.22,2019-01-14T00:00:00.0000000Z,0,0,2019-01-14T00:00:00.0000000Z,1.0025,41125133.69,2019-01-14T00:00:00.0000000Z,70.113,5682.177804,2019-01-14T00:00:00.0000000Z,0,0
Jan,2019-01-19T00:00:00.0000000Z,3556.1,25086.57045,2019-01-19T00:00:00.0000000Z,116.59,434148.5063,2019-01-19T00:00:00.0000000Z,31.66,74563.7789,2019-01-19T00:00:00.0000000Z,0.042888,23374274.94,2019-01-19T00:00:00.0000000Z,0,0,2019-01-19T00:00:00.0000000Z,0.100829,12182594,2019-01-19T00:00:00.0000000Z,0.31458,24275342.9,2019-01-19T00:00:00.0000000Z,0,0,2019-01-19T00:00:00.0000000Z,0,0,2019-01-19T00:00:00.0000000Z,0.31458,24275342.9,2019-01-19T00:00:00.0000000Z,0,0,2019-01-19T00:00:00.0000000Z,1.0012,12908480.14,2019-01-19T00:00:00.0000000Z,70.116,3669.348358,2019-01-19T00:00:00.0000000Z,0,0
Jan,2019-01-24T00:00:00.0000000Z,3431,21231.51259,2019-01-24T00:00:00.0000000Z,105.43,529648.8866,2019-01-24T00:00:00.0000000Z,30.88,68395.32226,2019-01-24T00:00:00.0000000Z,0.038447,8998881.587,2019-01-24T00:00:00.0000000Z,0,0,2019-01-24T00:00:00.0000000Z,0.085756,14796786.12,2019-01-24T00:00:00.0000000Z,0.2926,26296759.85,2019-01-24T00:00:00.0000000Z,0,0,2019-01-24T00:00:00.0000000Z,0,0,2019-01-24T00:00:00.0000000Z,0.2926,26296759.85,2019-01-24T00:00:00.0000000Z,0,0,2019-01-24T00:00:00.0000000Z,0.999,5262454.305,2019-01-24T00:00:00.0000000Z,66.68,4666.628234,2019-01-24T00:00:00.0000000Z,0,0
Jan,2019-01-29T00:00:00.0000000Z,3466,26206.20975,2019-01-29T00:00:00.0000000Z,109.41,647947.2151,2019-01-29T00:00:00.0000000Z,34.17,89423.8827,2019-01-29T00:00:00.0000000Z,0.038971,10950906.7,2019-01-29T00:00:00.0000000Z,0,0,2019-01-29T00:00:00.0000000Z,0.081889,17399346.22,2019-01-29T00:00:00.0000000Z,0.30683,60264202.91,2019-01-29T00:00:00.0000000Z,0,0,2019-01-29T00:00:00.0000000Z,0,0,2019-01-29T00:00:00.0000000Z,0.30683,60264202.91,2019-01-29T00:00:00.0000000Z,0,0,2019-01-29T00:00:00.0000000Z,0.9899,9610092.142,2019-01-29T00:00:00.0000000Z,67,6252.499521,2019-01-29T00:00:00.0000000Z,0,0
Feb,2019-02-03T00:00:00.0000000Z,3360.3,16033.40096,2019-02-03T00:00:00.0000000Z,103.32,474880.5993,2019-02-03T00:00:00.0000000Z,32.83,84870.07117,2019-02-03T00:00:00.0000000Z,0.036164,5925567.01,2019-02-03T00:00:00.0000000Z,0,0,2019-02-03T00:00:00.0000000Z,0.073418,16294211.56,2019-02-03T00:00:00.0000000Z,0.28826,30645349.41,2019-02-03T00:00:00.0000000Z,0,0,2019-02-03T00:00:00.0000000Z,0,0,2019-02-03T00:00:00.0000000Z,0.28826,30645349.41,2019-02-03T00:00:00.0000000Z,0,0,2019-02-03T00:00:00.0000000Z,0.9885,8576991.065,2019-02-03T00:00:00.0000000Z,66.464,6288.209132,2019-02-03T00:00:00.0000000Z,0,0
Feb,2019-02-08T00:00:00.0000000Z,3588.9,24543.68085,2019-02-08T00:00:00.0000000Z,121.08,659664.0571,2019-02-08T00:00:00.0000000Z,43.25,291398.1138,2019-02-08T00:00:00.0000000Z,0.041386,18199610.69,2019-02-08T00:00:00.0000000Z,0,0,2019-02-08T00:00:00.0000000Z,0.07623,21522782.97,2019-02-08T00:00:00.0000000Z,0.3011,50697513.46,2019-02-08T00:00:00.0000000Z,0,0,2019-02-08T00:00:00.0000000Z,0,0,2019-02-08T00:00:00.0000000Z,0.3011,50697513.46,2019-02-08T00:00:00.0000000Z,0,0,2019-02-08T00:00:00.0000000Z,0.9883,13887457.44,2019-02-08T00:00:00.0000000Z,81.19,10151.33578,2019-02-08T00:00:00.0000000Z,0,0
Feb,2019-02-13T00:00:00.0000000Z,3625.1,18823.22909,2019-02-13T00:00:00.0000000Z,132.32,532424.2584,2019-02-13T00:00:00.0000000Z,43.35,128877.4171,2019-02-13T00:00:00.0000000Z,0.041171,6860094.208,2019-02-13T00:00:00.0000000Z,0,0,2019-02-13T00:00:00.0000000Z,0.078931,12766706.02,2019-02-13T00:00:00.0000000Z,0.29998,32178134.27,2019-02-13T00:00:00.0000000Z,0,0,2019-02-13T00:00:00.0000000Z,0,0,2019-02-13T00:00:00.0000000Z,0.29998,32178134.27,2019-02-13T00:00:00.0000000Z,0,0,2019-02-13T00:00:00.0000000Z,0.9889,12921270.34,2019-02-13T00:00:00.0000000Z,78.521,4840.521364,2019-02-13T00:00:00.0000000Z,0,0
