Month,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded
January,2016-01-01T00:00:00.0000000Z,434.17899,395.95,6812.981239,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0,2016-01-01T00:00:00.0000000Z,0,0,0
February,2016-02-01T00:00:00.0000000Z,390.44,433.7,17039.39375,2016-02-01T00:00:00.0000000Z,0,0,0,2016-02-01T00:00:00.0000000Z,3.1832,3.37701,33229.75821,2016-02-01T00:00:00.0000000Z,0,0,0
March,2016-03-01T00:00:00.0000000Z,404.4,416.1,48153.07031,2016-03-01T00:00:00.0000000Z,0,0,0,2016-03-01T00:00:00.0000000Z,3.38009,3.29989,38416.31775,2016-03-01T00:00:00.0000000Z,0,0,0
April,2016-04-01T00:00:00.0000000Z,416.1,448.906,29351.49936,2016-04-01T00:00:00.0000000Z,0,0,0,2016-04-01T00:00:00.0000000Z,3.23729,3.69254,21566.96332,2016-04-01T00:00:00.0000000Z,0,0,0
May,2016-05-01T00:00:00.0000000Z,448.904,531.19,43005.72008,2016-05-01T00:00:00.0000000Z,0,0,0,2016-05-01T00:00:00.0000000Z,3.64001,4.5568,44692.44457,2016-05-01T00:00:00.0000000Z,0,0,0
June,2016-06-01T00:00:00.0000000Z,530.834,671.524,95787.85176,2016-06-01T00:00:00.0000000Z,0,0,0,2016-06-01T00:00:00.0000000Z,4.638,4.16053,57597.78825,2016-06-01T00:00:00.0000000Z,0,0,0
July,2016-07-01T00:00:00.0000000Z,672.22,622.57,36871.90242,2016-07-01T00:00:00.0000000Z,0,0,0,2016-07-01T00:00:00.0000000Z,4.27981,3.94,28735.22021,2016-07-01T00:00:00.0000000Z,0,0,0
August,2016-08-01T00:00:00.0000000Z,623.52,574.22,41026.06012,2016-08-01T00:00:00.0000000Z,0,0,0,2016-08-01T00:00:00.0000000Z,3.92137,3.65158,31691.89562,2016-08-01T00:00:00.0000000Z,0,0,0
September,2016-09-01T00:00:00.0000000Z,574.21,612.5,20068.95209,2016-09-01T00:00:00.0000000Z,0,0,0,2016-09-01T00:00:00.0000000Z,3.8,3.83373,10627.30569,2016-09-01T00:00:00.0000000Z,0,0,0
October,2016-10-01T00:00:00.0000000Z,612.5,698.919,28400.57346,2016-10-01T00:00:00.0000000Z,11.87,10.90001,302878.9624,2016-10-01T00:00:00.0000000Z,3.84825,4.03078,20492.23864,2016-10-01T00:00:00.0000000Z,0,0,0
November,2016-11-01T00:00:00.0000000Z,698.79,742.396,41727.84673,2016-11-01T00:00:00.0000000Z,10.90002,8.55384,671811.1147,2016-11-01T00:00:00.0000000Z,4,3.83729,16222.80447,2016-11-01T00:00:00.0000000Z,280,67.20703,2009.428705
December,2016-12-01T00:00:00.0000000Z,742.396,967.45,43463.19551,2016-12-01T00:00:00.0000000Z,8.55,8.07,1019535.732,2016-12-01T00:00:00.0000000Z,3.88531,4.37736,33074.24685,2016-12-01T00:00:00.0000000Z,68.16396,48.61947,5157.258046
