Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded
Jan,2016-12-30T00:00:00.0000000Z,1038.25,5454.891736,2016-12-30T00:00:00.0000000Z,9.5669,122989.7733,2016-12-30T00:00:00.0000000Z,4.57124,5843.247532,2016-12-30T00:00:00.0000000Z,0,0,2016-12-30T00:00:00.0000000Z,0,0,2016-12-30T00:00:00.0000000Z,0,0,2016-12-30T00:00:00.0000000Z,0,0,2016-12-30T00:00:00.0000000Z,0,0
Jan,2017-01-04T00:00:00.0000000Z,916.939,27070.17153,2017-01-04T00:00:00.0000000Z,10.27581,436309.4225,2017-01-04T00:00:00.0000000Z,4.03995,16106.45382,2017-01-04T00:00:00.0000000Z,0,0,2017-01-04T00:00:00.0000000Z,0,0,2017-01-04T00:00:00.0000000Z,0,0,2017-01-04T00:00:00.0000000Z,0,0,2017-01-04T00:00:00.0000000Z,0,0
Jan,2017-01-09T00:00:00.0000000Z,832.9,19556.1779,2017-01-09T00:00:00.0000000Z,9.7978,8786.003267,2017-01-09T00:00:00.0000000Z,3.94072,21977.75428,2017-01-09T00:00:00.0000000Z,0,0,2017-01-09T00:00:00.0000000Z,0,0,2017-01-09T00:00:00.0000000Z,0,0,2017-01-09T00:00:00.0000000Z,0,0,2017-01-09T00:00:00.0000000Z,0,0
Jan,2017-01-14T00:00:00.0000000Z,892.311,12129.34272,2017-01-14T00:00:00.0000000Z,10.35,103681.1316,2017-01-14T00:00:00.0000000Z,3.9,5177.967035,2017-01-14T00:00:00.0000000Z,0,0,2017-01-14T00:00:00.0000000Z,0,0,2017-01-14T00:00:00.0000000Z,0,0,2017-01-14T00:00:00.0000000Z,0,0,2017-01-14T00:00:00.0000000Z,0,0
Jan,2017-01-19T00:00:00.0000000Z,917.968,9430.239715,2017-01-19T00:00:00.0000000Z,10.80851,117756.799,2017-01-19T00:00:00.0000000Z,3.82665,5129.501729,2017-01-19T00:00:00.0000000Z,0,0,2017-01-19T00:00:00.0000000Z,0.002272,2575369.641,2017-01-19T00:00:00.0000000Z,0,0,2017-01-19T00:00:00.0000000Z,0,0,2017-01-19T00:00:00.0000000Z,0,0
Jan,2017-01-24T00:00:00.0000000Z,918.359,8112.558263,2017-01-24T00:00:00.0000000Z,10.5254,70334.07614,2017-01-24T00:00:00.0000000Z,3.89844,11024.87318,2017-01-24T00:00:00.0000000Z,0,0,2017-01-24T00:00:00.0000000Z,0.002153,9805385.997,2017-01-24T00:00:00.0000000Z,0,0,2017-01-24T00:00:00.0000000Z,0,0,2017-01-24T00:00:00.0000000Z,0,0
Jan,2017-01-29T00:00:00.0000000Z,1009.996,10159.47048,2017-01-29T00:00:00.0000000Z,10.7705,67230.60235,2017-01-29T00:00:00.0000000Z,4.05572,20817.87916,2017-01-29T00:00:00.0000000Z,0,0,2017-01-29T00:00:00.0000000Z,0.002215,2345472.525,2017-01-29T00:00:00.0000000Z,0,0,2017-01-29T00:00:00.0000000Z,0,0,2017-01-29T00:00:00.0000000Z,0,0
Feb,2017-02-03T00:00:00.0000000Z,1050.998,8919.491774,2017-02-03T00:00:00.0000000Z,11.43001,91971.93575,2017-02-03T00:00:00.0000000Z,3.96041,14134.93625,2017-02-03T00:00:00.0000000Z,0,0,2017-02-03T00:00:00.0000000Z,0.002275,480592.5377,2017-02-03T00:00:00.0000000Z,0,0,2017-02-03T00:00:00.0000000Z,0,0,2017-02-03T00:00:00.0000000Z,0,0
Feb,2017-02-08T00:00:00.0000000Z,1001.017,14645.95907,2017-02-08T00:00:00.0000000Z,11.3649,137992.5481,2017-02-08T00:00:00.0000000Z,3.79486,27037.71926,2017-02-08T00:00:00.0000000Z,0,0,2017-02-08T00:00:00.0000000Z,0.002168,3661084.082,2017-02-08T00:00:00.0000000Z,0,0,2017-02-08T00:00:00.0000000Z,0,0,2017-02-08T00:00:00.0000000Z,0,0
Feb,2017-02-13T00:00:00.0000000Z,1052.065,8497.495229,2017-02-13T00:00:00.0000000Z,12.70031,257018.2885,2017-02-13T00:00:00.0000000Z,3.82873,4491.136514,2017-02-13T00:00:00.0000000Z,0,0,2017-02-13T00:00:00.0000000Z,0.002361,13366.90995,2017-02-13T00:00:00.0000000Z,0,0,2017-02-13T00:00:00.0000000Z,0,0,2017-02-13T00:00:00.0000000Z,0,0
