time,btc_price_close,eth_price_close,ltc_price_close,zec_price_close
2016-01-01T00:00:00.0000000Z,395.95,0.948,3.05,0
2016-02-01T00:00:00.0000000Z,433.7,2.21,3.37701,0
2016-03-01T00:00:00.0000000Z,416.1,7.65,3.29989,0
2016-04-01T00:00:00.0000000Z,448.906,11.66,3.69254,0
2016-05-01T00:00:00.0000000Z,531.19,8.85,4.5568,0
2016-06-01T00:00:00.0000000Z,671.524,14,4.16053,0
2016-07-01T00:00:00.0000000Z,622.57,12.2,3.94,0
2016-08-01T00:00:00.0000000Z,574.22,10.94,3.65158,0
2016-09-01T00:00:00.0000000Z,612.5,11.99,3.83373,0
2016-10-01T00:00:00.0000000Z,698.919,10.90001,4.03078,0
2016-11-01T00:00:00.0000000Z,742.396,8.55384,3.83729,67.20703
2016-12-01T00:00:00.0000000Z,967.45,8.07,4.37736,48.61947
