,btc_start_date,price_open,price_close_btc,volume_traded,eth_start_date,price_open,price_close_eth,volume_traded,ltc_start_date,price_open,price_close_ltc,volume_traded,usdt_start_date,price_open,price_close_usdt,volume_traded,xlm_start_date,price_open,price_close_xlm,volume_traded,xrp_start_date,price_open,price_close_xrp,volume_traded,dash_start_date,price_open,price_close_dash,volume_traded,zec_start_date,price_open,price_close_zec,volume_traded
0,2017-01-01T00:00:00.0000000Z,968.75,969.739,86944.74851,2017-01-01T00:00:00.0000000Z,8.09999,10.66911,890222.1961,2017-01-01T00:00:00.0000000Z,4.37999,4.12475,79997.19103,2017-01-01T00:00:00.0000000Z,1,1,5356883.509,2017-01-01T00:00:00.0000000Z,0.00225,0.002149,13705314.6,2017-01-01T00:00:00.0000000Z,0.00629,0.006386,122281928.8,2017-01-01T00:00:00.0000000Z,11.26,12.78,9150.946748,2017-01-01T00:00:00.0000000Z,48,39.72103,4937.523761
1,2017-02-01T00:00:00.0000000Z,968.166,1180,61053.17522,2017-02-01T00:00:00.0000000Z,10.75997,15.63,997873.7726,2017-02-01T00:00:00.0000000Z,4.11786,3.77,70749.80384,2017-02-01T00:00:00.0000000Z,1,1,5356883.509,2017-02-01T00:00:00.0000000Z,0.002298,0.00192,13727735.56,2017-02-01T00:00:00.0000000Z,0.006311,0.00654,122281928.8,2017-02-01T00:00:00.0000000Z,15.98,16.24,9150.946748,2017-02-01T00:00:00.0000000Z,39.04901,36.87479,6424.262701
2,2017-03-01T00:00:00.0000000Z,1181.998,1079.78,114427.9056,2017-03-01T00:00:00.0000000Z,15.62999,49.6975,3386529.631,2017-03-01T00:00:00.0000000Z,3.77,7.07063,370887.4969,2017-03-01T00:00:00.0000000Z,1,1,5356883.509,2017-03-01T00:00:00.0000000Z,0.001833,0.002282,79348965.78,2017-03-01T00:00:00.0000000Z,0.005525,0.005408,122281928.8,2017-03-01T00:00:00.0000000Z,68.26,57.07,9150.946748,2017-03-01T00:00:00.0000000Z,36.91646,62.22333,25896.17727
3,2017-04-01T00:00:00.0000000Z,1080.03,1350.717,65383.51624,2017-04-01T00:00:00.0000000Z,49.69,78.367,1165796.97,2017-04-01T00:00:00.0000000Z,7.07042,15.65775,1107305.721,2017-04-01T00:00:00.0000000Z,1.0009,0.935,5356883.509,2017-04-01T00:00:00.0000000Z,0.002278,0.004805,82106114.73,2017-04-01T00:00:00.0000000Z,0.02174,0.02189,122281928.8,2017-04-01T00:00:00.0000000Z,71.51334,92.82983,9150.946748,2017-04-01T00:00:00.0000000Z,63.43361,92.72201,25668.89973
4,2017-05-01T00:00:00.0000000Z,1344.601,2291.301,221472.6393,2017-05-01T00:00:00.0000000Z,78.36667,228.5,3020777.266,2017-05-01T00:00:00.0000000Z,15.66061,25.78,1706270.488,2017-05-01T00:00:00.0000000Z,0.9351,1.0571,5546006.147,2017-05-01T00:00:00.0000000Z,0.004805,0.034,720767962.5,2017-05-01T00:00:00.0000000Z,0.332105,0.249367,122281928.8,2017-05-01T00:00:00.0000000Z,90.02437,137.37001,60526.7315,2017-05-01T00:00:00.0000000Z,92.72694,231.36099,66842.63634
5,2017-06-01T00:00:00.0000000Z,2291.301,2445,214516.2279,2017-06-01T00:00:00.0000000Z,227.40051,280,2827969.551,2017-06-01T00:00:00.0000000Z,25.79808,39.04784,1427534.159,2017-06-01T00:00:00.0000000Z,1.05,1.0061,12866885.89,2017-06-01T00:00:00.0000000Z,0.034,0.026694,209614446.9,2017-06-01T00:00:00.0000000Z,0.246133,0.244035,183678603.7,2017-06-01T00:00:00.0000000Z,140.64014,174.73788,62989.83026,2017-06-01T00:00:00.0000000Z,233.11487,294.79606,67319.61504
6,2017-07-01T00:00:00.0000000Z,2443.36,2876.133,260245.3179,2017-07-01T00:00:00.0000000Z,280.9999,201.7777,4388107.397,2017-07-01T00:00:00.0000000Z,39.04785,42.34721,2015750.934,2017-07-01T00:00:00.0000000Z,1.0144,1.0025,22041480.23,2017-07-01T00:00:00.0000000Z,0.026505,0.016269,230938509.7,2017-07-01T00:00:00.0000000Z,0.246792,0.1651,233919484.2,2017-07-01T00:00:00.0000000Z,179.97646,178.5,81831.26943,2017-07-01T00:00:00.0000000Z,294.79606,174,62711.62667
7,2017-08-01T00:00:00.0000000Z,2876.133,4737.27,228405.8618,2017-08-01T00:00:00.0000000Z,201.7777,388.003,2348182.504,2017-08-01T00:00:00.0000000Z,42.456,73.3708,1220401.988,2017-08-01T00:00:00.0000000Z,1.004,1.0046,19335339.6,2017-08-01T00:00:00.0000000Z,0.031504,0.030204,230938509.7,2017-08-01T00:00:00.0000000Z,0.165299,0.26,438200607.4,2017-08-01T00:00:00.0000000Z,178.5,387.182,61795.4745,2017-08-01T00:00:00.0000000Z,174,290,57751.9595
8,2017-09-01T00:00:00.0000000Z,4737.02,4344,205468.1852,2017-09-01T00:00:00.0000000Z,388.649,302.2,2726662.162,2017-09-01T00:00:00.0000000Z,73.3708,55.65,2179055.177,2017-09-01T00:00:00.0000000Z,1.0033,0.9998,23008649.6,2017-09-01T00:00:00.0000000Z,0.032556,0.031556,230938509.7,2017-09-01T00:00:00.0000000Z,0.259995,0.19903,301335988.4,2017-09-01T00:00:00.0000000Z,386,330,55804.81755,2017-09-01T00:00:00.0000000Z,292.959,277,96832.63924
9,2017-10-01T00:00:00.0000000Z,4343.9,6430.5,91987.22664,2017-10-01T00:00:00.0000000Z,302.19,304.12,598233.5745,2017-10-01T00:00:00.0000000Z,55.56,55.47,799077.8473,2017-10-01T00:00:00.0000000Z,0.9998,0.9999,30470689.93,2017-10-01T00:00:00.0000000Z,0.0225,0.0325,230938509.7,2017-10-01T00:00:00.0000000Z,0.19904,0.19906,318538449.2,2017-10-01T00:00:00.0000000Z,328.124,279.38,28518.58534,2017-10-01T00:00:00.0000000Z,278.38,234,67449.07783
