,btc_start_date,price_open,price_close_BTC,volume_traded,eth_start_date,price_open,price_close_ETH,volume_traded,ltc_start_date,price_open,price_close_ITC,volume_traded,ada_start_date,price_open,price_close_ADA,volume_traded,doge_start_date,price_open,price_close_DOGE,volume_traded,xlm_start_date,price_open,price_close_XLM,volume_traded,xrp_start_date,price_open,price_close_XRP,volume_traded,lisk_start_date,price_open,price_close_LISK,volume_traded,waves_start_date,price_open,price_close_WAVES,volume_traded,zec_start_date,price_open,price_close_ZEC,volume_traded,sc_start_date,price_open,price_close_SC,volume_traded,usdt_start_date,price_open,price_close_USDT,volume_traded,dash_start_date,price_open,price_close_DASH,volume_traded
1,2020-01-01T00:00:00.0000000Z,7168.3,9339.3,182284.0527,2020-01-01T00:00:00.0000000Z,128.66,179.68,1754990.188,2020-01-01T00:00:00.0000000Z,41.15,67.76,967747.5064,2020-01-01T00:00:00.0000000Z,0.032652,0.053794,174479162.2,2020-01-01T00:00:00.0000000Z,0.0020099,0.0023636,144359962.5,2020-01-01T00:00:00.0000000Z,0.044647,0.060831,108298885.3,2020-01-01T00:00:00.0000000Z,0.19236,0.2389,441686026.5,2020-01-01T00:00:00.0000000Z,0.552755,1.149,292597.5026,2020-01-01T00:00:00.0000000Z,1.014,0.8841,1496916.425,2020-01-01T00:00:00.0000000Z,27.34,66.2,606228.0251,2020-01-01T00:00:00.0000000Z,0.0013,0.0016,120958863.9,2020-01-01T00:00:00.0000000Z,0.9962,0.9983,58398205.56,2020-01-01T00:00:00.0000000Z,40.855,115.961,257263.214
2,2020-02-01T00:00:00.0000000Z,9337.1,8529.1,129239.4747,2020-02-01T00:00:00.0000000Z,179.68,217.78,2548585.871,2020-02-01T00:00:00.0000000Z,67.93,58.13,948151.788,2020-02-01T00:00:00.0000000Z,0.053762,0.047284,224145472.2,2020-02-01T00:00:00.0000000Z,0.0023593,0.0022133,317556965.9,2020-02-01T00:00:00.0000000Z,0.060375,0.056963,185409274.2,2020-02-01T00:00:00.0000000Z,0.23902,0.22883,651033294.3,2020-02-01T00:00:00.0000000Z,1.036572,1.281456,1595833.64,2020-02-01T00:00:00.0000000Z,0.8847,1.1298,1902734.199,2020-02-01T00:00:00.0000000Z,66.36,49,105278.924,2020-02-01T00:00:00.0000000Z,0.0016,0.00227,423629704.7,2020-02-01T00:00:00.0000000Z,0.9983,1.0002,73868730.45,2020-02-01T00:00:00.0000000Z,115.514,85.254,101856.829
3,2020-03-01T00:00:00.0000000Z,8526.1,6422.1,374848.4202,2020-03-01T00:00:00.0000000Z,217.31,133.1,4168217.664,2020-03-01T00:00:00.0000000Z,58.02,39.25,1252705.231,2020-03-01T00:00:00.0000000Z,0.047138,0.030575,370212721.3,2020-03-01T00:00:00.0000000Z,0.0022132,0.00179,305375570.1,2020-03-01T00:00:00.0000000Z,0.056944,0.040939,189196675.7,2020-03-01T00:00:00.0000000Z,0.22929,0.17374,871751151.7,2020-03-01T00:00:00.0000000Z,1.283764,0.977245,752377.1264,2020-03-01T00:00:00.0000000Z,1.1293,0.9968,1636154.722,2020-03-01T00:00:00.0000000Z,49.32,30.93,200629.1218,2020-03-01T00:00:00.0000000Z,0.00227,0.00128,412374136.6,2020-03-01T00:00:00.0000000Z,1.0002,1.0017,134040793.5,2020-03-01T00:00:00.0000000Z,85.328,64.946,161380.6709
4,2020-04-01T00:00:00.0000000Z,6422.2,8629.6,493231.2333,2020-04-01T00:00:00.0000000Z,133.02,206.2,4415679.466,2020-04-01T00:00:00.0000000Z,39.17,46.37,1218909.614,2020-04-01T00:00:00.0000000Z,0.0305,0.047481,222127283.2,2020-04-01T00:00:00.0000000Z,0.0017882,0.0023374,207984084.3,2020-04-01T00:00:00.0000000Z,0.040767,0.067277,140420453,2020-04-01T00:00:00.0000000Z,0.17409,0.21178,458191761.8,2020-04-01T00:00:00.0000000Z,0.966875,1.218623,2522336.461,2020-04-01T00:00:00.0000000Z,0.9703,1.0552,1307004.386,2020-04-01T00:00:00.0000000Z,30.92,44.61,149920.2035,2020-04-01T00:00:00.0000000Z,0.00124,0.00205,344590199.3,2020-04-01T00:00:00.0000000Z,1.0018,1.0005,247020402,2020-04-01T00:00:00.0000000Z,64.978,80.817,88228.89156
5,2020-05-01T00:00:00.0000000Z,8628.3,9447.4,273682.8022,2020-05-01T00:00:00.0000000Z,206.16,231.76,1904909.998,2020-05-01T00:00:00.0000000Z,46.38,45.59,547814.6292,2020-05-01T00:00:00.0000000Z,0.047609,0.074002,457637649.2,2020-05-01T00:00:00.0000000Z,0.0024632,0.0025378,236250086.3,2020-05-01T00:00:00.0000000Z,0.06762,0.070787,179281499.7,2020-05-01T00:00:00.0000000Z,0.21139,0.20239,308141079.8,2020-05-01T00:00:00.0000000Z,1.229269,1.19798,544785.5119,2020-05-01T00:00:00.0000000Z,1.0808,1.0908,1277462.93,2020-05-01T00:00:00.0000000Z,44.81,51.77,65244.31927,2020-05-01T00:00:00.0000000Z,0.00212,0.00235,494496735.1,2020-05-01T00:00:00.0000000Z,1.0003,0.9994,209405899.9,2020-05-01T00:00:00.0000000Z,81.3,76.331,57169.60406
6,2020-06-01T00:00:00.0000000Z,9447.9,9133.9,159149.8859,2020-06-01T00:00:00.0000000Z,231.52,225.68,1478852.515,2020-06-01T00:00:00.0000000Z,45.59,41.25,441106.3834,2020-06-01T00:00:00.0000000Z,0.073825,0.083837,523315451.1,2020-06-01T00:00:00.0000000Z,0.0025567,0.0023029,194199055.2,2020-06-01T00:00:00.0000000Z,0.070155,0.066922,154432228,2020-06-01T00:00:00.0000000Z,0.2022,0.17538,268615202.3,2020-06-01T00:00:00.0000000Z,1.197982,1.145737,459618.9895,2020-06-01T00:00:00.0000000Z,1.0909,1.1258,1378321.293,2020-06-01T00:00:00.0000000Z,51.99,51.51,66990.58354,2020-06-01T00:00:00.0000000Z,0.00237,0.00281,926797920.8,2020-06-01T00:00:00.0000000Z,0.9994,0.9998,172482345.5,2020-06-01T00:00:00.0000000Z,76.093,68.16,42567.56452
7,2020-07-01T00:00:00.0000000Z,9135,11356.2,119522.5584,2020-07-01T00:00:00.0000000Z,225.61,347,1755724.521,2020-07-01T00:00:00.0000000Z,41.18,58.29,766313.4848,2020-07-01T00:00:00.0000000Z,0.083352,0.140104,973862572.2,2020-07-01T00:00:00.0000000Z,0.0023047,0.0032214,3692148942,2020-07-01T00:00:00.0000000Z,0.066593,0.096714,275930743,2020-07-01T00:00:00.0000000Z,0.17534,0.26013,448968160.7,2020-07-01T00:00:00.0000000Z,1.137183,1.280154,478859.9621,2020-07-01T00:00:00.0000000Z,1.1255,1.5239,2524069.051,2020-07-01T00:00:00.0000000Z,51.55,74.36,87193.54083,2020-07-01T00:00:00.0000000Z,0.00279,0.00305,862186014.2,2020-07-01T00:00:00.0000000Z,0.9998,1.0015,189913177.4,2020-07-01T00:00:00.0000000Z,67.767,82.629,66764.51436
8,2020-08-01T00:00:00.0000000Z,11356.1,11656.9,132919.978,2020-08-01T00:00:00.0000000Z,346.9,433.98,2404929.375,2020-08-01T00:00:00.0000000Z,58.26,60.97,1545919.325,2020-08-01T00:00:00.0000000Z,0.140017,0.122566,534900524.5,2020-08-01T00:00:00.0000000Z,0.003214,0.0032268,1052103058,2020-08-01T00:00:00.0000000Z,0.097,0.096914,247333476,2020-08-01T00:00:00.0000000Z,0.25991,0.28132,827925001.3,2020-08-01T00:00:00.0000000Z,1.291871,1.799,1534766.035,2020-08-01T00:00:00.0000000Z,1.5264,3.6183,7949640.38,2020-08-01T00:00:00.0000000Z,75.24,78.72,197436.364,2020-08-01T00:00:00.0000000Z,0.00305,0.00458,1128242838,2020-08-01T00:00:00.0000000Z,1.0014,1.0002,360641868.1,2020-08-01T00:00:00.0000000Z,82.725,86.271,162348.7192
9,2020-09-01T00:00:00.0000000Z,11657.2,10774.9,117605.7608,2020-09-01T00:00:00.0000000Z,434,359.69,2639400.99,2020-09-01T00:00:00.0000000Z,61.05,46.24,863689.9032,2020-09-01T00:00:00.0000000Z,0.122922,0.10136,373312022.3,2020-09-01T00:00:00.0000000Z,0.0032122,0.0026279,843058126.2,2020-09-01T00:00:00.0000000Z,0.096887,0.0746,138734872.9,2020-09-01T00:00:00.0000000Z,0.2814,0.24184,365107955.9,2020-09-01T00:00:00.0000000Z,1.795903,1.196873,816619.4363,2020-09-01T00:00:00.0000000Z,3.5996,2.5682,2851237.184,2020-09-01T00:00:00.0000000Z,78.51,63.94,127710.6471,2020-09-01T00:00:00.0000000Z,0.00458,0.00308,551848488.5,2020-09-01T00:00:00.0000000Z,1.0002,1,429042187.7,2020-09-01T00:00:00.0000000Z,86.041,69.126,60058.27898
10,2020-10-01T00:00:00.0000000Z,10774.9,13809.1,126881.7274,2020-10-01T00:00:00.0000000Z,359.7,386.81,1371747.913,2020-10-01T00:00:00.0000000Z,46.31,55.82,912902.8817,2020-10-01T00:00:00.0000000Z,0.10147,0.093183,284540965.9,2020-10-01T00:00:00.0000000Z,0.002657,0.0025752,597389422.5,2020-10-01T00:00:00.0000000Z,0.074846,0.077742,146386096.4,2020-10-01T00:00:00.0000000Z,0.24198,0.23999,299254466.6,2020-10-01T00:00:00.0000000Z,1.182999,1.052737,403997.2637,2020-10-01T00:00:00.0000000Z,2.5738,3.2141,3504454.389,2020-10-01T00:00:00.0000000Z,64.3,58.12,132922.658,2020-10-01T00:00:00.0000000Z,0.0031,0.00247,385476983.1,2020-10-01T00:00:00.0000000Z,0.9999,1.0009,386452936.1,2020-10-01T00:00:00.0000000Z,69.14,70.231,65521.67667
