Date,BTC-USD,ETH-USD,LTC-USD,ADA-USD,XLM-USD,DOGE-USD
2020-08-17,11991.2333984375,423.6693115234375,65.52753448486328,0.13742700219154358,0.10876999795436859,0.003513999981805682
2020-08-18,11758.283203125,406.4637756347656,62.0046272277832,0.12927499413490295,0.10254800319671631,0.00342399999499321
2020-08-19,11878.3720703125,416.4397888183594,62.96675491333008,0.13364200294017792,0.10717500001192093,0.003459000028669834
2020-08-20,11592.4892578125,389.1263427734375,59.37902069091797,0.12375999987125397,0.10043799877166748,0.003392999991774559
2020-08-21,11681.8251953125,395.83514404296875,60.3111572265625,0.12527599930763245,0.10246200114488602,0.003441999899223447
2020-08-22,11664.84765625,391.3844909667969,60.623260498046875,0.12159500271081924,0.10305000096559525,0.003413999918848276
2020-08-23,11774.595703125,408.1441955566406,62.199424743652344,0.12448800355195999,0.10350199788808823,0.0034179999493062496
2020-08-24,11366.134765625,384.00103759765625,58.580665588378906,0.11329200118780136,0.09811200201511383,0.0033050000201910734
2020-08-25,11488.36328125,386.46612548828125,58.35817337036133,0.1152850016951561,0.09841799736022949,0.0033030000049620867
2020-08-26,11323.3974609375,382.63262939453125,56.041015625,0.10682400315999985,0.09391699731349945,0.0032029999420046806
2020-08-27,11542.5,395.8746643066406,57.35440444946289,0.1094530001282692,0.09581899642944336,0.0032679999712854624
2020-08-28,11506.865234375,399.9214782714844,57.29173278808594,0.11671199649572372,0.09673699736595154,0.0032820000778883696
2020-08-29,11711.505859375,428.3957214355469,62.725341796875,0.11743699759244919,0.0982469990849495,0.0032999999821186066
2020-08-30,11680.8203125,435.0797424316406,61.11379623413086,0.12268800288438797,0.09731099754571915,0.0032210000790655613
2020-08-31,11970.478515625,477.0519104003906,62.882789611816406,0.1254110038280487,0.09937900304794312,0.0032560001127421856
2020-09-01,11414.0341796875,440.0404968261719,58.099647521972656,0.11561299860477448,0.09264999628067017,0.0031220000237226486
2020-09-02,10245.296875,385.67193603515625,47.774112701416016,0.09615399688482285,0.07944700121879578,0.0028019999153912067
2020-09-03,10511.8134765625,388.24114990234375,50.611976623535156,0.10244499891996384,0.08145199716091156,0.0028989999555051327
2020-09-04,10169.5673828125,335.26007080078125,47.58933639526367,0.08992300182580948,0.07551199942827225,0.0027580000460147858
2020-09-05,10280.3515625,353.3622741699219,48.05357360839844,0.09306000173091888,0.07786200195550919,0.00278700003400445
2020-09-06,10369.5634765625,352.6734924316406,48.77010726928711,0.09333299845457077,0.07869099825620651,0.002810999983921647
2020-09-07,10131.5166015625,337.60211181640625,47.3838005065918,0.09101100265979767,0.07753700017929077,0.002756000030785799
2020-09-08,10242.34765625,351.1100158691406,47.89769744873047,0.09334900230169296,0.07862599939107895,0.002778999973088503
2020-09-09,10363.138671875,368.1018981933594,48.716854095458984,0.09715600311756134,0.081324003636837,0.002804999938234687
2020-09-10,10400.9150390625,374.6955871582031,49.089752197265625,0.09698899835348129,0.08380799740552902,0.0028059999458491802
2020-09-11,10442.1708984375,387.18310546875,50.81715393066406,0.09759800136089325,0.0841049998998642,0.002819000044837594
2020-09-12,10323.755859375,365.57000732421875,48.066036224365234,0.09485600143671036,0.08006100356578827,0.0027759999502450228
2020-09-13,10680.837890625,377.26885986328125,49.09012222290039,0.09676899760961533,0.08045200258493423,0.0028029999230057
2020-09-14,10796.951171875,364.8392028808594,48.390098571777344,0.09349600225687027,0.07825600355863571,0.002831999910995364
2020-09-15,10974.9052734375,365.8122863769531,47.933433532714844,0.09165000170469284,0.08019900321960449,0.0028260000981390476
2020-09-16,10948.990234375,389.01922607421875,48.87706756591797,0.09421700239181519,0.080424003303051,0.002814000006765127
2020-09-17,10944.5859375,384.3645324707031,48.46281433105469,0.09108100086450577,0.07846099883317947,0.0028039999306201935
2020-09-18,11094.3466796875,385.54437255859375,48.67683029174805,0.09165699779987335,0.07897999882698059,0.0027940000873059034
2020-09-19,10938.271484375,371.0528259277344,47.100528717041016,0.08943299949169159,0.07740599662065506,0.0027779999654740095
2020-09-20,10462.259765625,341.78607177734375,43.390220642089844,0.08042799681425095,0.07070299983024597,0.002630000002682209
2020-09-21,10538.4599609375,344.503173828125,44.545047760009766,0.08175399899482727,0.07198700308799744,0.002655999967828393
2020-09-22,10225.8642578125,320.5855407714844,43.042057037353516,0.07682999968528748,0.06777799874544144,0.002563999965786934
2020-09-23,10745.548828125,349.3566589355469,44.96100616455078,0.08289500325918198,0.0706309974193573,0.002644000109285116
2020-09-24,10702.2900390625,352.161865234375,46.00873565673828,0.09690900146961212,0.07466799765825272,0.002706000115722418
2020-09-25,10754.4375,354.96527099609375,46.1312255859375,0.09555000066757202,0.07422199845314026,0.002707999898120761
2020-09-26,10774.4267578125,357.3216857910156,46.010440826416016,0.10120599716901779,0.0736289992928505,0.002701000077649951
2020-09-27,10721.3271484375,354.95050048828125,45.27067184448242,0.10069599747657776,0.0737060010433197,0.0026579999830573797
2020-09-28,10848.830078125,359.9634094238281,45.69805908203125,0.10113599896430969,0.07442499697208405,0.0026809999253600836
2020-09-29,10787.6181640625,360.0223693847656,46.28403854370117,0.10114599764347076,0.07496999949216843,0.0026420000940561295
2020-09-30,10623.330078125,353.2312927246094,46.283145904541016,0.09787800163030624,0.07340399920940399,0.0026149998884648085
2020-10-01,10585.1640625,346.53265380859375,44.979713439941406,0.09291300177574158,0.07126899808645248,0.0025839998852461576
2020-10-02,10565.4931640625,347.32159423828125,45.65327835083008,0.09368400275707245,0.07151000201702118,0.0026050000451505184
